,doi,title,publication_date,type,first_author_name,abstract,source,abstract_length,doi_norm,title_norm,abstract_norm,publication_year
72,10.1080/00032719.2023.2241090,"Characterization and Quantification of Surficial Sediment Microplastics and Its Correlation with Heavy Metals, Soil Texture, and Flow Velocity",2024-01-01,Journal,"Casila, J. C.","Investigating the presence of microplastics in the Pasig River, the highest plastic-emitting river in the Philippines and one of the ocean’s leading contributors of these materials, is highly relevant. In this study, surficial sediments in eight stations along the main channel of the Pasig River were analyzed for microplastic content, heavy metals, and soil texture. The microplastics were categorized according to shape, color, and size. The polymer type was determined using infrared spectroscopy. The number of microplastics was correlated with heavy metals, soil texture, and flow velocity. The results show that the dominant shape, color, size, and polymer type were fragment, color white, size range from 0 to 500 μm, and polyvinyl alcohol, respectively. Downstream stations 5 and 8 had the highest microplastic concentration. The number of microplastics showed a positive moderate correlation with percent sand (r = 0.40) and clay (r = 0.42), and a negative high correlation with percent silt (r=-0.80). For microplastics and heavy metals, a positive moderate correlation was observed for iron (r = 0.52) and zinc (r = 0.58), while a negative weak correlation was present for lead (r=-0.06). Microplastics and flow velocity showed weak correlations demonstrating that the accumulation in the bottom river sediment may be based on the proximity of the plastic source rather than on the flowing water with plastic sources. Results reflect the diverse influences on the Pasig River which is surrounded by informal settlements, manufacturing industries, urban offices, and residential areas. More plastic management initiatives and better implementation of existing laws should be done by the government.",Scopus,1709,10.1080/00032719.2023.2241090,characterization quantification surficial sediment microplastics correlation heavy metals soil texture flow velocity,investigating presence microplastics pasig river highest emitting river oceans leading contributors materials highly relevant surficial sediments stations main channel pasig river analyzed microplastic content heavy metals soil texture microplastics categorized according shape color size polymer type determined infrared spectroscopy number microplastics correlated heavy metals soil texture flow velocity results dominant shape color size polymer type fragment color white size range 0 500 μm polyvinyl alcohol respectively downstream stations 5 8 highest microplastic concentration number microplastics showed positive moderate correlation percent sand r 040 clay r 042 negative high correlation percent silt r 080 microplastics heavy metals positive moderate correlation observed iron r 052 zinc r 058 negative weak correlation lead r 006 microplastics flow velocity showed weak correlations demonstrating accumulation river sediment proximity source flowing water sources results reflect diverse influences pasig river surrounded informal settlements manufacturing industries urban offices residential areas management initiatives better implementation existing laws government,2024
56,10.1016/j.rsma.2024.103520,"Characterization and distribution of macroplastics along the coastal municipalities of Partido district, Camarines Sur, Philippines",2024-09-01,Journal,"Plantado, Lander Cezar","This study was conducted to characterize and investigate the distribution of macroplastics in the nine coastal municipalities of Partido district, Camarines Sur, Philippines. The study aimed to quantify and categorize the macroplastics along the coastal areas of the study site. The results reveal variations in the type, color, size, category, and amount of plastic waste among different municipalities. Notably, plastic fragments, cigarette butt, food packaging, and disposable utensils emerged as the predominant forms of macroplastics within the study area. The majority of the collected plastic particles fell within the size range of 0.5–1.00 cm, while transparent, white, and green were identified as the prevailing colors in the samples of plastic waste. Furthermore, both hard plastic and soft plastic fragments were frequently encountered, accounting for 35% and 31% of the total plastic, respectively. Sagňay, Tigaon, and Caramoan exhibited the highest densities of macroplastics, with values of 0.62±0.11, 0.60±0.05, and 0.59±0.06 pcs/m2, respectively. In contrast, Garchitorena displayed the lowest density at 0.26±0.04. The remaining municipalities exhibited densities ranging from 0.4 to 0.5 pcs/m2. The elevated macroplastics density observed can be attributed to factors such as their degree of urbanization, tourist activity, and population density. The findings of this study provide valuable insights into the composition and characteristics of macroplastics found along the coastal municipalities of Partido district, emphasizing the urgent need for effective strategies and policies to mitigate the possible impact to the environment.",Scopus,1656,10.1016/j.rsma.2024.103520,characterization distribution macroplastics coastal municipalities partido district camarines sur,conducted characterize distribution macroplastics coastal municipalities partido district camarines sur aimed quantify categorize macroplastics coastal areas site results reveal variations type color size category different municipalities notably fragments cigarette butt food packaging disposable utensils emerged predominant forms macroplastics area majority collected particles fell size range 05100 cm transparent white green identified prevailing colors samples furthermore hard soft fragments frequently encountered accounting 35 31 total respectively sagňay tigaon caramoan exhibited highest densities macroplastics values 062011 060005 059006 pcsm2 respectively contrast garchitorena displayed lowest density 026004 remaining municipalities exhibited densities ranging 04 05 pcsm2 elevated macroplastics density observed attributed factors degree urbanization tourist activity population density findings provide valuable insights composition characteristics macroplastics coastal municipalities partido district emphasizing urgent need effective strategies policies mitigate possible impact environment,2024
168,10.1088/1755-1315/1506/1/012026,"Characterization of Microplastic Pollution in Surface Waters of Agus River, Mindanao, Philippines",2025-01-01,Conference Proceeding,"Segovia, J. L.M.","Rivers are considered the principal conduits of plastic pollution, transporting plastic waste from terrestrial environments to the ocean, where it contributes to the formation of microplastics by fragmentation. The riverine microplastic [MP] studies in the Philippines, conversely, focus solely on urban environments. The current study investigated the presence of microplastics in the surface waters of Agus River, Mindanao, Philippines, a tributary of the only ancient lake in the country. Collection of samples were conducted in 3 sampling sites, coinciding with the upstream, midstream, and downstream levels of the river. Microscopy and Fourier Transform Infrared Spectroscopy [FTIR] were utilized to identify and confirm 84 total microplastic pieces with an average density of 0.46MP/L, indicating that microplastics were pervasive in the region. Kruskal Wallis test also reveal that presence of pollutants and level of contamination significantly differ (P < 0.05) among the sites, predominated by brown-colored microplastics (34.5%). Morphological analysis reveals that the river is polluted with filament (39.2%), fragment (26.19%), and fiber (22.6%) microplastics. Notably, no common polymers were identified across the said sites. The results of this study serve as foundation for macroplastic reflux research and the exploration of additional environmental mediums, such as biota, to assess the magnitude of microplastic pollution in the ecosystem.",Scopus,1460,10.1088/1755-1315/1506/1/012026,characterization microplastic surface waters agus river mindanao,rivers considered principal conduits transporting terrestrial environments contributes formation microplastics fragmentation riverine microplastic mp conversely focus solely urban environments current presence microplastics surface waters agus river mindanao tributary ancient lake country collection samples conducted 3 sampling sites coinciding upstream midstream downstream levels river microscopy fourier transform infrared spectroscopy ftir utilized identify confirm 84 total microplastic pieces average density 046mpl indicating microplastics pervasive region kruskal wallis test reveal presence pollutants level contamination significantly differ p 005 sites predominated brown colored microplastics 345 morphological analysis reveals river polluted filament 392 fragment 2619 fiber 226 microplastics notably common polymers identified said sites results serve foundation macroplastic reflux exploration additional environmental mediums biota assess magnitude microplastic ecosystem,2025
90,https://doi.org/10.5194/egusphere-egu2020-22467,"Characterization of Plastic Pollution in Rivers: Case of Sapang Baho River, Rizal, Philippines",2020-03-10,article,"Diola, Ma. Brida Lea D.","&amp;lt;p&amp;gt;Philippines is considered as one of the top contributors of plastic wastes in the oceans globally. Lack of strict implementation of solid waste management regulations has led to mismanaged wastes, especially plastics, that eventually end up in water bodies. This study focuses on characterizing plastic waste pollution in Sapang Baho River in the province of Rizal. The river is located in an urban area and is a significant tributary of Laguna Lake, the largest lake in the country. Through this study, macrowastes and microplastics in Sapang Baho River, Rizal were characterized and analyzed to provide baseline information and to raise awareness to address plastic pollution, in macro- and micro-scale. This study also determined possible sources of microplastics by relating the particles to the plastic wastes present as well as activities in the sites. Waste analysis and characterization studies (WACS) were conducted for four sampling stations along the river. Microplastic samples were also collected from surface water and were characterized based on form such as filament, fragment, film, foam, and pellet through microscope examination. Representative samples were subjected to Raman spectroscopy testing to identify the polymer types. Results show that macrowaste samples were mostly plastic wastes (27.33%) in terms of mass. Plastic wastes were composed of film plastic (47%). Most of the microplastic particles were in the form of filaments (92.24%) which were fragmented from textile wastes and cloth washing. In terms of color, transparent particles were dominant and particles in the lower size range (0.3 mm - 0.8 mm) were predominant. Samples subjected to Raman spectroscopy were mainly polyethylene (PE), a material used in containers and packaging. Lastly, it was calculated that the surface water of Sapang Baho River contributes approximately 24 - 362 microplastic particles to Laguna Lake.&amp;lt;/p&amp;gt;",OpenAlex,1949,10.5194/egusphere-egu2020-22467,characterization rivers case sapang baho river rizal,pphilippines considered contributors wastes oceans globally lack strict implementation solid management regulations led mismanaged wastes especially eventually end water bodies focuses characterizing sapang baho river province rizal river located urban area significant tributary laguna lake largest lake country macrowastes microplastics sapang baho river rizal characterized analyzed provide baseline information raise awareness address macro micro scale determined possible sources microplastics relating particles wastes activities sites analysis characterization wacs conducted sampling stations river microplastic samples collected surface water characterized form filament fragment film foam pellet microscope examination representative samples subjected raman spectroscopy testing identify polymer types results macrowaste samples wastes 2733 terms mass wastes composed film 47 microplastic particles form filaments 9224 fragmented textile wastes cloth washing terms color transparent particles dominant particles lower size range 03 mm 08 mm predominant samples subjected raman spectroscopy mainly polyethylene pe material containers packaging lastly calculated surface water sapang baho river contributes approximately 24 362 microplastic particles laguna lakep,2020
184,10.13057/biodiv/d251014,"Characterization of mangrove composition and anthropogenic marine debris accumulation in mangrove ecosystems of Mactan Island, Philippines",2024-10-01,Journal,"Cortes, Sylvester T.","Mangrove forests are recognized for their economic and socio-ecological importance. However, their unique morphological structures lead them to become efficient traps of waste sourced from various anthropogenic activities. The continuous accumulation of these Anthropogenic Marine Debris (AMD) could cover the forest floors, resulting in the oppression of their pneumatophores and knee roots. In the long run, this phenomenon could lead to tree death. In this regard, the study assessed the mangrove forest composition and AMD occurrence in the highly urbanized Island of Mactan as a basis for planning its conservation. Fifteen (15) quadrats in each sampling station measuring 10×10 m were established in two sites, Punta Engaño (S1) and Catarman (S2). In two sampling sites, five quadrats were established in each zone (i.e., seaward, midward, and landward). The study recorded 17 mangrove species in two sampling sites, of which all 17 species are present in S1 and four in S2. Of the 17 species, 16 are valid mangrove species belonging to seven (7) families and ten (10) genera. The presence of Pemphis acidula J.R.Forst. & G.Forst. in S1 is a significant finding of the study, as it is categorized as one of the endangered species in the Philippines. This study also confirmed the occurrence of AMD in the forest floors of the mangrove areas. A total of 5192 debris items were identified, and they weighed 213.61 kgs for both sites, covering 3,000 m<sup>2</sup> of the island. The majority of this debris is made of single-use plastics used for packaging. These findings underscore the urgent need for local government action focused on effective waste management policies and strategies, information education campaigns, and community extension projects for the long-term survival of the mangrove forests.",Scopus,1811,10.13057/biodiv/d251014,characterization mangrove composition anthropogenic accumulation mangrove ecosystems mactan island,mangrove forests recognized economic socio ecological importance unique morphological structures lead efficient traps sourced anthropogenic activities continuous accumulation anthropogenic amd cover forest floors resulting oppression pneumatophores knee roots long run phenomenon lead tree death regard assessed mangrove forest composition amd occurrence highly urbanized island mactan basis planning conservation 15 quadrats sampling station measuring 1010 m established sites punta engaño s1 catarman s2 sampling sites quadrats established zone seaward midward landward recorded 17 mangrove species sampling sites 17 species s1 s2 17 species 16 valid mangrove species belonging seven 7 families 10 genera presence pemphis acidula jrforst gforst s1 significant finding categorized endangered species confirmed occurrence amd forest floors mangrove areas total 5192 items identified weighed 21361 kgs sites covering 3000 msup2sup island majority single packaging findings underscore urgent need local government action focused effective management policies strategies information education campaigns community extension projects long term survival mangrove forests,2024
250,10.3303/CET2186250,"Characterization of pyrolytic oil produced from waste plastic in Quezon City, Philippines using non-catalytic pyrolysis method",2021-01-01,Journal,"Olalo, Joselito A.","Due to massive amount of waste plastics in different dumpsites, our community suffers and also the environment. Thus, affects nearby people with problems with plastic wastes. One of the processes to lessen these wastes is through pyrolysis of which fuel oil can be produced. The study involved the production of fuel oil from waste plastics taken from the Payatas dump site in Quezon City, Philippines. After thorough cleaning, the waste plastics were shredded thru mechanical means and underwent pyrolysis. Given the available thermal chamber facility in ITDI-DOST in Taguig City, Philippines, pyrolysis of waste plastics produced fuel oil in varying per cent yield from the different types of plastic. Characterization of the oil sample was conducted such as ash content, carbon residue, copper corrosion strip, flash point, pour point, sulfur, kinematic viscosity, specific gravity water and sediments that were based from the PNS/DOE QS 006-2005. The oil sample was analyzed using different laboratory tests following the methods of the American Society for Testing and Materials (ASTM). Using this standards, the analysis of the oil sample gave the positive results in comparison to the specifications set by the Philippine National Standard and was classified as fuel oil. Pyrolytic oil from waste plastic can be an alternative fuel source.",Scopus,1346,10.3303/cet2186250,characterization pyrolytic oil produced quezon city non catalytic pyrolysis method,massive different dumpsites community suffers environment affects nearby people problems wastes processes lessen wastes pyrolysis fuel oil produced involved production fuel oil taken payatas dump site quezon city thorough cleaning shredded mechanical means underwent pyrolysis given available thermal chamber facility itdi dost taguig city pyrolysis produced fuel oil varying cent yield different types characterization oil sample conducted ash content carbon residue copper corrosion strip flash point pour point sulfur kinematic viscosity specific gravity water sediments pnsdoe qs 006 2005 oil sample analyzed different laboratory tests following methods american society testing materials astm standards analysis oil sample gave positive results comparison specifications set philippine national standard classified fuel oil pyrolytic oil alternative fuel source,2021
126,https://doi.org/10.5281/zenodo.8353812,"Characterization, Analysis, and Brand Audit of Macroplastic Litter in Selected Coastal Areas of Sarangani Bay",2023-09-18,report,"Failon, Marc Louise","Plastic pollution in the Philippines' coastal areas has been rampant over the years. Still, the studies on assessing and quantifying such issues are limited and not fully explored. This study assessed and characterized a snapshot of the current macroplastic pollution in various coastal sites in Sarangani Bay. A perpendicular transect survey was employed in the study wherein any observed plastic item larger or longer than 25 mm was recorded and identified based on the type of plastic product and the polymer composition. Additionally, details of macroplastic items with identifiable labels and brand names will be recorded for the brand audit. Being an urban site, the City of General Santos survey area has recorded the highest count (n=190) and density of macroplastic litter at 0.9572 items per square meter. Results also showed that more than half of the waste surveyed comprises plastic bags (n=134) and food items (n=129) packaging. Polypropylene (n=138) was the dominant polymer type among the wastes tallied, which is utilized in a wide array of plastic items such as food packaging, plastic utensils and containers, ropes, and lids. Most of the brands audited are involved in manufacturing food, beverage, and personal care products, whereby most of the plastic wastes that originate from consumer goods are single-use packaging such as sachet and pillow pouches. Generally, the insights gathered from this study augment the knowledge of various policymakers and the local government, which can be used in implementing appropriate programs or enacting local policies that can help improve the current pollution status in the bay's coastal area.",OpenAlex,1657,10.5281/zenodo.8353812,characterization analysis brand audit macroplastic selected coastal areas sarangani bay,coastal areas rampant years assessing quantifying issues limited fully explored assessed characterized snapshot current macroplastic coastal sites sarangani bay perpendicular transect survey employed observed item larger longer 25 mm recorded identified type product polymer composition additionally details macroplastic items identifiable labels brand names recorded brand audit urban site city general santos survey area recorded highest count n190 density macroplastic 09572 items square meter results showed half surveyed comprises bags n134 food items n129 packaging polypropylene n138 dominant polymer type wastes tallied utilized wide array items food packaging utensils containers ropes lids brands audited involved manufacturing food beverage personal care products wastes originate consumer goods single packaging sachet pillow pouches generally insights gathered augment knowledge policymakers local government implementing appropriate programs enacting local policies help improve current status bays coastal area,2023
196,10.1088/1755-1315/1414/1/012015,Charting the currents of environmental concern: a decades-spanning scientometric analysis of riverine debris,2024-01-01,Conference Proceeding,"Sani, M. T.","Debris in water bodies, particularly rivers, is a major environmental concern, with Southeast Asia contributing around a third of global debris pollution in 2015. This debris poses severe ecological risks, including entanglement and ingestion, which can lead to biodiversity loss. Despite extensive research on marine debris, there has been a lack of scientometric reviews using tools like CiteSpace to analyze riverine debris, especially in Southeast Asia. Thus, this study aims to explore research trends on riverine debris by analyzing Scopus-indexed articles from 1995 to 2024, identifying 156 relevant articles and exploring the monitoring effort. CiteSpace analysis reveals that Indonesia leads Southeast Asia in riverine debris research with 79 publications, followed by Malaysia, Thailand, and Vietnam. The studies primarily span Environmental Science, Earth and Planetary Sciences, and Agricultural and Biological Sciences. Key research has been conducted in Indonesia, Vietnam, and the Philippines, emphasizing the urgent need for improved waste management. These studies focus on debris composition, the effects of increased plastic use during the COVID-19 pandemic, and future waste projections, underscoring the need for targeted interventions to address environmental impact.",Scopus,1289,10.1088/1755-1315/1414/1/012015,charting currents environmental concern decades spanning scientometric analysis riverine,water bodies particularly rivers major environmental concern southeast asia contributing global 2015 poses severe ecological risks entanglement ingestion lead biodiversity loss despite extensive lack scientometric tools like citespace analyze riverine especially southeast asia aims explore trends riverine analyzing scopus indexed articles 1995 2024 identifying 156 relevant articles exploring monitoring effort citespace analysis reveals indonesia leads southeast asia riverine 79 publications followed malaysia thailand vietnam primarily span environmental science earth planetary sciences agricultural biological sciences key conducted indonesia vietnam emphasizing urgent need improved management focus composition effects increased covid 19 pandemic future projections underscoring need targeted interventions address environmental impact,2024
248,10.1007/978-981-16-0913-8_7,Circular Economy Strategies and Implementation in the Philippines,2021-01-01,Book,"Figueroa, Arturo Mariano I.","The Philippines is an archipelago that is located in Southeast Asia. It is composed of 7641 islands with a total land area of 342.353 km2. The country has three major groups of islands, namely Luzon, Visayas, and Mindanao. Both Luzon and Mindanao take a large portion of the country’s surface area while the rest are small islands. According to the World Bank, the Philippine economy is one of the most dynamic in the East Asia Pacific region citing contributing factors like increasing urbanization, middle class growth, and percentage of younger population. The dynamic characteristics of the economy have been rooted to a stronger consumer demand that is supported by a vigorous labor market and healthy remittances. The resource efficiency of the Philippines compared to Asia Pacific Region is simulated by the UNESCAP in terms of domestic material consumption, energy intensity, and water efficiency. The Philippines could reduce 41.75% domestic material consumption (DMC) intensity from 2000 to 2016, which is a significant indication of contribution towards Circular Economy. The simulation revealed that in 2016, the Philippines was more resource efficient in terms of usage of material resources compared to the Asia-Pacific regional average. The Republic Act (RA) 9003 promulgated in 2001 provided an ecological solid waste management program in the country consisting of processes such as segregation, collection, transport, storage, treatment, and disposal of solid wastes. This has featured a national target of establishing Material Recovery Facilities (MRF) in all the 42,000 barangay units. Waste management in the Philippines is controlled by both formal and informal recyclers being the key players dealing with E-waste, plastics waste, and other types of wastes in the country. A national initiative utilizing the principle of public and private partnership (PPP) has been adopted to create safe E-waste transport, storage, and disposal (TSD) for the benefit of the informal waste sectors in the country. The Philippines is already a party to the UN Framework Convention on Climate Change (UNFCCC), to the Hyogo Framework for Action, and strongly committed to the Sendai Framework. By 2030, the country has committed to reduce by 70% all the carbon emissions coming from the energy, transport, waste, forestry, and industry sectors. The Green Energy Option Programs in the Philippines provided option to consumers to choose renewable energy as their source of power while the country fostered three guiding principles in all the areas of energy development, namely innovation, resilience, and sustainability. Water recycling and conservation activities in the country are propagated by enjoining the public through the conduct of aggressive Information, Education and Communication (IEC) campaigns. The government has developed programs and initiatives in enhancing conservation of water and efficient procedures in averting water shortages, namely rainwater harvesting facilities, establishing water recycling technologies in the country through the National Water Resources Board (NWRB). There are other initiatives to reduce, reuse, and recycle, and resource recovery in waste sectors, water sectors, industry sectors, and others that help Philippines to move towards implementation of Circular Economy while there are many challenges. This study reviews the situation and presents the status of the implementation of circular economy strategies in the Philippines considering the targets, implementation status, legislative support, achievements, and the future plans.",Scopus,3591,10.1007/978-981-16-0913-8_7,circular economy strategies implementation,archipelago located southeast asia composed 7641 islands total area 342353 km2 country major groups islands luzon visayas mindanao luzon mindanao large portion countrys surface area rest small islands according world bank philippine economy dynamic east asia pacific region citing contributing factors like increasing urbanization middle class growth percentage younger population dynamic characteristics economy rooted stronger consumer demand supported vigorous labor market healthy remittances resource efficiency compared asia pacific region simulated unescap terms domestic material consumption energy intensity water efficiency reduce 4175 domestic material consumption dmc intensity 2000 2016 significant indication contribution circular economy simulation revealed 2016 resource efficient terms usage material resources compared asia pacific regional average republic act ra 9003 promulgated 2001 provided ecological solid management program country consisting processes segregation collection transport storage treatment disposal solid wastes featured national target establishing material recovery facilities mrf 42000 barangay units management controlled formal informal recyclers key players dealing e types wastes country national initiative utilizing principle public private partnership ppp adopted create safe e transport storage disposal tsd benefit informal sectors country party framework convention climate change unfccc hyogo framework action strongly committed sendai framework 2030 country committed reduce 70 carbon emissions coming energy transport forestry industry sectors green energy option programs provided option consumers choose renewable energy source power country fostered guiding principles areas energy development innovation resilience sustainability water recycling conservation activities country propagated enjoining public conduct aggressive information education communication iec campaigns government developed programs initiatives enhancing conservation water efficient procedures averting water shortages rainwater harvesting facilities establishing water recycling technologies country national water resources board nwrb initiatives reduce reuse recycle resource recovery sectors water sectors industry sectors help implementation circular economy challenges situation status implementation circular economy strategies considering targets implementation status legislative support achievements future plans,2021
61,10.21463/jmic.2021.10.2.09,"Citizen science highlights litter associated with COVID-19 as a potential threat on the island of Mindanao, Philippines: a marine biodiversity hotspot",2021-01-01,Journal,"Abreo, Neil Angelo S.","The on-going COVID-19 pandemic is expected to exacerbate the marine litter problem. The use of disposable personal protective equipment (e.g., facemasks) will result to increase in marine plastics pollution. Here we explored the potential of citizen science to determine the distribution of marine litter associated with COVID-19 in Mindanao, Philippines. Volunteers were invited through social media, contributing geotagged photographs of marine litter associated with COVID-19. Although the information is limited, results showed the possible pervasiveness of marine litter associated with COVID-19. Since the waters surrounding the Southern Philippines is known to host high marine biodiversity, the potential negative interaction of marine litter associated with COVID-19 and marine species is inevitable. The contribution of citizen science to address some of the limitations on marine litter research is highlighted and is recommended to be explored further.",Scopus,964,10.21463/jmic.2021.10.2.09,citizen science highlights associated covid 19 potential threat island mindanao biodiversity hotspot,going covid 19 pandemic expected exacerbate problem disposable personal protective equipment facemasks result increase explored potential citizen science determine distribution associated covid 19 mindanao volunteers invited social media contributing geotagged photographs associated covid 19 information limited results showed possible pervasiveness associated covid 19 waters surrounding southern known host high biodiversity potential negative interaction associated covid 19 species inevitable contribution citizen science address limitations highlighted recommended explored,2021
171,10.13074/jent.2025.03.2511212,"Coastal Community Perspectives: Knowledge, Attitudes, and Practices (KAP) on Marine Plastic Pollution among Coastal Residents in Tangub City, Misamis Occidental, Philippines",2025-01-01,Journal,"Nanong, M. S.T.","Marine plastic pollution has become an emerging environmental problem, particularly in tropical archipelagos like the Philippines. The study investigated the knowledge, attitude, and practices among coastal communities towards marine plastic litter in Tangub City, Misamis Occidental. The study utilized the quantitative-correlational research design. A total of 352 random respondents were selected from the 5 coastal barangays with the most household numbers in the city. Data were collected through an adapted survey questionnaire and analyzed using descriptive and inferential statistics. The results revealed that majority of the respondents were women (52%), married (61%), and aged 41 to 50 years old (25%). Moreover, the educational attainment of most respondents were high school level (32%) with income below P5,000 (83%), primarily fishermen (43%) that had lived in the area for 20 years and above (62%). Overall, the respondents have a very high level of knowledge, attitudes, and practices. Further analysis showed that respondents' knowledge significantly differs by educational attainment while attitude also showed a significant difference across age groups. However, respondents' practices on MPL have no significant difference when grouped by socio-demographic profile. Lastly, the knowledge revealed a weak positive correlation to the attitudes and practices of the respondents. The study recommends that a comprehensive approach combining education, stricter enforcement, improved infrastructure, and active community involvement is necessary to address Tangub City's plastic waste problem effectively.",Scopus,1622,10.13074/jent.2025.03.2511212,coastal community perspectives knowledge attitudes practices kap coastal residents tangub city misamis occidental,emerging environmental problem particularly tropical archipelagos like knowledge attitude practices coastal communities tangub city misamis occidental utilized quantitative correlational design total 352 random respondents selected 5 coastal barangays household numbers city data collected adapted survey questionnaire analyzed descriptive inferential statistics results revealed majority respondents women 52 married 61 aged 41 50 years old 25 educational attainment respondents high school level 32 income p5000 83 primarily fishermen 43 lived area 20 years 62 overall respondents high level knowledge attitudes practices analysis showed respondents knowledge significantly differs educational attainment attitude showed significant difference age groups respondents practices mpl significant difference grouped socio demographic profile lastly knowledge revealed weak positive correlation attitudes practices respondents recommends comprehensive approach combining education stricter enforcement improved infrastructure active community involvement necessary address tangub citys problem effectively,2025
77,10.1007/978-3-031-23618-1_9,Combining Image Enhancement Techniques and Deep Learning for Shallow Water Benthic Marine Litter Detection,2023-01-01,Book Series,"Bancud, Gil Emmanuel","The scarcity of information about benthic marine litter especially in developing countries hampers the implementation of targeted actions to minimize the extent of its impacts. This study developed a system using image processing and deep learning methods for detecting/tracking marine macro litter that can efficiently identify and quantify its amount in benthic environments in shallow coastal areas. Shallow underwater litter detection poses several challenges. First is the low quality of images. Second is the difficulty in recognizing litter brought by their varying visual characteristics. Third is the lack of available data for training. Underwater images of litter were collected from marine litter hotspots in coastal areas in southern Philippines. This study experimented with various object detection algorithms. The best object detection model is then paired with various image enhancement techniques to determine the optimal combination. Among the combinations that were tested, YOLOv5n combined with CLAHE gave the best performance for simple binary task (litter or not litter) with a mAP@0.5 of 0.704. Furthermore, the results showed that applying underwater image enhancement techniques provides noticeable improvement for object detection models on detecting marine litter.",Scopus,1292,10.1007/978-3-031-23618-1_9,combining image enhancement techniques deep learning shallow water benthic detection,scarcity information benthic especially developing countries hampers implementation targeted actions minimize extent impacts developed image processing deep learning methods detectingtracking macro efficiently identify quantify benthic environments shallow coastal areas shallow underwater detection poses challenges low quality images second difficulty recognizing brought varying visual characteristics lack available data training underwater images collected hotspots coastal areas southern experimented object detection algorithms best object detection model paired image enhancement techniques determine optimal combination combinations tested yolov5n combined clahe gave best performance simple binary task map05 0704 furthermore results showed applying underwater image enhancement techniques provides noticeable improvement object detection models detecting,2023
269,10.1007/s10113-018-1332-8,Community-based adaptation in low-lying islands in the Philippines: challenges and lessons learned,2018-12-01,Journal,"Jamero, Ma Laurice","Community-based adaptation (CBA) seeks to address climate risks and socio-economic drivers of vulnerability simultaneously. However, as CBA activities appear very similar to standard development work, difficulties in identifying good practices arise. To clarify the role of CBA, this study elucidated how climate change can impact pre-existing development problems by investigating the experiences of four low-lying island communities in central Philippines. The islands currently suffer from frequent and extreme tidal flooding (following an earthquake-induced land subsidence in 2013, with a magnitude that is broadly similar to sea-level rise projections under a 1.5 to 2 °C global warming scenario), and endured a dry spell in 2016. The study also identified various publicly and privately initiated adaptation strategies, and evaluated their resilience against actual biophysical events. The study conducted focus group discussions with local leaders and in-depth interviews with government officials and residents in March 2016. Results show that tidal flooding impacted almost all aspects of daily life on the islands, while the dry spell completely depleted their limited water supplies. The strategies implemented by governments and NGOs (e.g., seawalls, rainwater collectors) were found to be inadequate in preventing tidal flooding and compensating for the dry spell. Also, communities used coral stones and plastic waste for raising the floors of their homes, which have an erosive effect on their capacity to adapt in the long term. Lack of community participation in publicly initiated projects and lack of adaptation funding for community-based strategies were the greatest obstacles to implementing climate-resilient solutions.",Scopus,1743,10.1007/s10113-018-1332-8,community adaptation low lying islands challenges lessons learned,community adaptation cba seeks address climate risks socio economic drivers vulnerability simultaneously cba activities appear similar standard development work difficulties identifying good practices arise clarify role cba elucidated climate change impact pre existing development problems investigating experiences low lying island communities central islands currently suffer frequent extreme tidal flooding following earthquake induced subsidence 2013 magnitude broadly similar sea level rise projections 15 2 c global warming scenario endured dry spell 2016 identified publicly privately initiated adaptation strategies evaluated resilience actual biophysical events conducted focus group discussions local leaders depth interviews government officials residents march 2016 results tidal flooding impacted aspects daily life islands dry spell completely depleted limited water supplies strategies implemented governments ngos seawalls rainwater collectors inadequate preventing tidal flooding compensating dry spell communities coral stones raising floors homes erosive effect capacity adapt long term lack community participation publicly initiated projects lack adaptation funding community strategies greatest obstacles implementing climate resilient solutions,2018
219,10.1088/1755-1315/1257/1/012010,"Comprehensive assessment of solid waste management of a highly urbanized city in Metro Manila, Philippines during the COVID-19 pandemic",2023-01-01,Conference Proceeding,"Osorio, E.","This study aims to gather primary and secondary data on the municipal SWM system of an urban area in Metro Manila during the pandemic to design targeted and effective measures to improve SWM practices and reduce plastic pollution. The study results show that the city's waste generation rate is at 0.93 kg/cap/day, while the disposal rate is at 0.66 kg/cap/day. Most of the wastes in both generation and disposal are biodegradables, mainly consisting of food wastes. Among the plastic wastes, lightweight plastic bags were the most abundant in terms of weight. From total plastics waste generation, about 7% of them entered the water system; 5% retained on land and the remaining are burnt or in storm drains. An important recommendation from this baseline study is the effective segregation of biodegradable, recyclable, residual, and special wastes.",Scopus,851,10.1088/1755-1315/1257/1/012010,comprehensive assessment solid management highly urbanized city metro manila covid 19 pandemic,aims gather primary secondary data municipal swm urban area metro manila pandemic design targeted effective measures improve swm practices reduce results citys generation rate 093 kgcapday disposal rate 066 kgcapday wastes generation disposal biodegradables mainly consisting food wastes wastes lightweight bags abundant terms weight total generation 7 entered water 5 retained remaining burnt storm drains important recommendation baseline effective segregation biodegradable recyclable residual special wastes,2023
